storename,address_original,address_normalize[0],address_normalize[1],?????,url,?????,????,????,????????,??????????,????????,????????,??????,???????????,????,?????,????(??|??|???),?????(??|??|???),????(??|??|???),?????(??|??|???),???1????????,??,??,page,???
??????????,?????????765,na,na,6/3/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000282,na,?? ??,?? ??,"['?????????', '?????????']",na,na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,1.5|1|0.5,29.1,na,na,9,
????????????,???????????746-2,na,na,6/3/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000644,na,?? ??,?? ??,"['?????????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '??????????????']",na,na,na,1|1|-,na,na,2|2|-,na,na,na,9,
??????,?????????274-2,na,na,5/29/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000269,na,????,????,"['?????????', '????????????(????)?????']",['?????'],na,na,"['????', '?????????????', '??????????????']",na,['??(????????)'],['??????'],1|1|-,na,na,2|2|-,21,na,na,9,
???????????,?????????2494,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000281,na,?? ??,?? ??,['?????????'],na,na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,2|2|-,24,na,na,9,
??????,?????????562,na,na,6/30/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000268,na,????,????,['?????????'],na,na,na,"['????', '?????????????', '??????????????']",na,na,na,2|2|-,na,na,3|-|3,30.7,na,na,9,
?????????,????????340-1,na,na,6/30/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000660,na,?????? ????????? ??? ????,?? ??,"['?????????', '????????????(????)?????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????', '?????????????', '????????', '??????????????', '????????????']",na,"['??(?????????????????)', '??????', '????????']","['??????', '???????', '??????????????', '?????????????', '??????']",4.2|4|0.2,na,na,9|9|-,70,na,na,9,
??????,?????????352-1,na,na,8/3/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000278,na,????,????,['?????????'],na,na,na,"['????', '??????????', '?????????', '??????????????']",na,"['??????', '????????']","['???????', '??????']",1|1|-,na,na,1|1|-,15,na,na,9,
???????????,????????863-2,na,na,6/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000633,na,?? ??,?? ??,['?????????'],['??????'],na,na,"['????', '?????????????', '????????', '??????????????']",na,na,na,1|1|-,na,na,4|2|2,50,na,na,9,
??????????,??????????1797-1,na,na,8/4/2015,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000284,na,?? ?,?? ?,['?????????'],na,na,na,"['????', '??????????', '??????????????']",na,na,na,1|1|-,na,na,4|2|2,35,na,na,9,
??????,????????352,na,na,6/5/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000271,na,?? ??,?? ???,['?????????'],na,na,na,"['????', '?????????????', '??????????????']",na,na,na,2|1|1,na,na,4|2|2,15,na,na,9,
????????,????????1186-21,na,na,7/10/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000293,na,?? ???,?? ???,"['?????????', '????????????(????)?????']","['?????', '??????']",na,na,"['????', '?????????????', '??????????????', '????????????']",na,"['??(????????)', '??????']","['??????', '??????']",1|1|-,na,na,1|1|-,15,na,na,9,
??????,????????347,na,na,7/24/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000272,na,????,????,['?????????'],na,na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,na,5,na,na,9,
??????? ???????,????????2294-2,na,na,6/8/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=1190000047,na,?? ??,?? ?,na,na,na,na,"['????????????', '???????', '?????????', '?????????????', '????????', '??????????????', '??????????????', '?????????', '???????', '????????????']",na,['??????'],['?????????????'],-|-|-,na,na,-|-|-,?????,na,na,9,
???????,?????????518,na,na,6/11/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000279,na,????,????,"['?????????', '????????????(????)?????', '?????????']","['?????', '??????']",na,na,"['????', '?????????', '??????????????', '????????????']",na,"['??(????????)', '??????']","['??????', '???????', '?????????????', '??????']",2|2|-,na,na,2|-|2,15.2,na,na,9,
??????,?????????1199,na,na,6/2/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000274,na,?? ??,????,['?????????'],na,na,na,"['????', '?????????????', '??????????????']",na,na,['?????????????'],1|1|-,na,na,1|-|1,21.4,na,na,9,
??????,????????1356-2,na,na,6/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000288,na,???,???,na,na,na,na,"['????', '?????????????', '????????', '??????????????']",na,na,na,2|2|-,na,na,8|3|5,50,na,na,9,
??????,????????922-1,na,na,5/29/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000285,na,????,????,"['?????????', '?????????']",['??????'],na,na,"['????', '?????????????', '??????????????']",na,"['??????', '????????']",['??????'],1|1|-,na,na,2|2|-,15,na,na,9,
???????,??????????1263,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000283,na,??? ??,??? ??,"['?????????', '????????????(????)?????']",na,na,na,['??????????????'],na,na,na,1|1|-,na,na,na,15,na,na,9,
???????????,?????????875,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000435,na,?? ??,?? ??,"['?????????', '????????????(????)?????', '?????????']","['?????', '??????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,na,na,1|1|-,na,na,3|2|1,35,na,na,9,
????,?????????706,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000286,na,???,???,['?????????'],na,na,na,"['????', '?????????????', '??????????????']",na,na,na,1|1|-,na,na,4|3|1,40,na,na,10,
???????????,?????????763-1,na,na,7/7/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000280,na,?? ??,?? ??,"['?????????', '????????????(????)?????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????????', '????????????']",na,na,"['??????', '???????', '?????????????', '??????']",1|1|-,na,na,1|1|-,15,na,na,10,
??????,?????????2626,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000662,na,? ??,? ??,"['?????????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????', '?????????', '?????????????', '??????????????', '????????????']",na,na,"['??????', '???????']",1|1|-,na,na,4|4|-,23.9,na,na,10,
??????,?????????1274,na,na,6/22/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000276,na,?????,?????,['?????????'],na,na,na,"['????', '?????????????', '????????', '??????????????']",na,na,na,2|2|-,na,na,2|2|-,23.4,na,na,10,
???????,??????????265,na,na,6/3/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000319,na,??? ?,??? ?,"['?????????', '?????????']",['?????'],na,na,"['????', '??????????????', '????????????']",na,"['??(?????????????????)', '??????', '????????', '??????????', '??????????????', '??????????????????????']","['??????', '???????', '??????????????', '?????????????', '??????']",2|2|-,na,na,3|2|1,32,na,na,10,
???????,??????????2083,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000321,na,??? ??,??? ??,['?????????'],"['?????', '??????']",na,na,"['????', '??????']",na,"['??????', '????????']","['??????', '???????']",1|1|-,na,na,3|3|-,44.3,na,na,10,
???????????? ???????,????????650-1,na,na,6/30/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000664,na,????????????,?? ??,['?????????'],"['?????', '??????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,"['??(?????????????????)', '??????', '????????', '??????????', '??????????????']","['??????', '???????', '?????????????']",2|2|-,na,na,5|3|2,35,na,na,10,
??????,????????922-1,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000330,na,?? ??,?? ??,['?????????'],['?????'],na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,1|1|-,12.5,na,na,10,
???????,????????2969,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=2190000424,na,????,????,['?????????'],na,na,na,"['?????????????', '????????', '??????????????']",na,['??(????????)'],"['??????', '??????']",2|1|1,na,na,na,na,na,na,10,
???????,????????2969,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000326,na,????,????,['?????????'],na,na,na,"['????', '?????????????', '????????', '??????????????']",na,"['??(????????)', '??????']",['???????'],2|1|1,na,na,na,28,na,na,10,
???????,?????????2310-62,na,na,6/2/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000329,na,??? ??,??? ??,['?????????'],"['?????', '??·?·????????·??·?????']",na,na,"['????', '??????????????']",na,['??????'],na,1|1|-,na,na,na,15,na,na,10,
??????,??????????2575,na,na,12/18/2014,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000324,na,???,???,"['?????????', '????????????(????)?????']","['?????', '??????']",na,na,"['????', '????????', '??????????????']",na,"['??(????????)', '??????']",['??????'],1|1|-,na,na,1.5|1|0.5,20,na,na,10,
??????,????????3545-3902,na,na,3/17/2017,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000317,na,???,???,['?????????'],['?????'],na,na,"['????', '??????????????']",na,['??????'],na,1|-|-,na,na,1|-|-,7,na,na,10,
??????,?????????566-1,na,na,6/2/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000316,na,?? ?,?? ?,['?????????'],"['?????', '??????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,['??????'],"['??????', '???????']",1|1|-,na,na,1|1|0,39.8,na,na,10,
????????,????????2111,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000671,na,????,????,['?????????'],"['?????', '??????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,['??????'],['???????'],1|-|-,na,na,1|-|-,na,na,na,10,
???????,?????????3879-11,na,na,11/17/2014,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000320,na,?? ??,?? ??,['?????????'],['??????'],na,na,"['????', '?????????????', '??????????????']",na,na,na,1|1|-,na,na,1.8|1|0.8,43,na,na,10,
??????,??????????2313,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000322,na,?? ???,?? ???,"['?????????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,na,['??????'],2|1|1,na,na,2|-|2,25,na,na,10,
??????,????????1904,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000325,na,????,????,['?????????'],['?????'],na,na,"['????', '?????????????', '??????????????', '????????????']",na,na,['???????'],1|1|-,na,na,1|1|-,35,na,na,10,
???????????,????????3565-5,na,na,5/17/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000614,na,?? ??,?? ??,['?????????'],['??????'],na,na,['??????????????'],na,"['??(?????????????????)', '??????', '????????']",['??????'],1|1|-,na,na,2|-|2,6,na,na,10,
????????,?????????4986-1378,na,na,5/23/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000318,na,?? ???,?? ???,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,na,na,2|1|1,na,na,1|1|-,42,na,na,10,
??????,????????722-3,na,na,2/4/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000315,na,?? ?,?? ?,"['?????????', '????????????(????)?????']",na,na,na,"['????', '?????????????', '??????????????']",na,"['??(?????????????????)', '??????']","['??????', '?????????????']",1|1|-,na,na,na,13,na,na,11,
???????????,???????10198-2,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000327,na,????,????,['?????????'],na,na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,2|1|1,20,na,na,11,
???? ?? ?????????,?????????3094??,na,na,6/25/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000623,na,?? ??,?? ??,"['?????????', '????????????(????)?????', '?????????']",na,na,na,"['????', '?????????????', '??????????????']",na,"['??(?????????????????)', '??????']",na,1|1|-,na,na,3|1|2,20,na,na,11,
???????,????????1371,na,na,6/10/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000331,na,?????? ????????? ??? ????,?? ??,"['?????????', '????????????(????)?????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????????', '????????????']",na,"['??(????????)', '??????']","['??????', '???????', '??????????????', '?????????????', '??????']",1.6|1|0.6,na,na,3|3|-,38.2,na,na,11,
??????,??????1267,na,na,6/25/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000144,na,????,????,['?????????'],na,na,na,['??????????????'],na,na,na,1|1|-,na,na,na,20,na,na,11,
?????????????,??????1615-6,na,na,4/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000606,na,???,???,na,na,na,na,"['????', '????????', '??????????????', '????????????']",na,na,na,1|1|-,na,na,4|2|2,35,na,na,11,
??????,??????1617,na,na,6/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000145,na,???,???,"['?????????', '?????????']",na,na,na,['????'],na,na,na,2|1|1,na,na,1|1|-,15,na,na,11,
??????,?????473,na,na,6/2/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000308,na,???,???,['?????????'],"['?????', '??????']",na,na,"['????', '??????????', '?????????', '?????????????', '??????????????', '????????????']",na,"['??(????????)', '??????', '????????']","['??????', '???????', '?????????????', '??????']",1.1|1|0.1,na,na,4.3|4|0.3,28.1,na,na,11,
M????????? ????,??????249-1,na,na,6/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000146,na,???? M?????????,????,"['?????????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '??????????????']",na,['??????'],"['??????', '?????????????', '??????']",2|1|1,na,na,na,70,na,na,11,
???????????,??????714-1,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000150,na,?? ?,?? ?,['?????????'],['?????'],na,na,"['?????????????', '????????', '??????????????']",na,na,"['??????', '???????', '??????']",1|1|-,na,na,1|1|-,26.6,na,na,11,
???????????,?????782-1,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000657,na,?? ??,?? ??,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,11,
??????????,?????2191-1,na,na,7/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000622,na,???,???,"['?????????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '????????', '??????????????']",na,na,"['??????', '???????', '??????']",1|1|-,na,na,3|3|-,30,na,na,11,
???????????? ???????????,?????22-1,na,na,6/30/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000131,na,?? ?,?? ?,"['?????????', '?????????', '?????????']",['??????'],na,na,"['????', '?????????????', '??????????????']",na,"['??(????????)', '??????', '????????']","['??????', '???????', '?????????????']",2|1|1,na,na,9|3|6,46,na,na,11,
??????,??????689-1,na,na,3/21/2008,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000137,na,?? ??,????,['?????????'],"['?????', '??????']",na,na,"['????', '??????????????']",na,['??????'],na,1|1|-,na,na,2|1|1,33,na,na,11,
????????????,??????913-3 ?????????,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000683,na,?? ???,?? ???,['?????????'],['?????'],na,na,"['????', '??????????????']",na,na,"['??????', '???????']",1|1|-,na,na,2|2|-,23,na,na,11,
??????,??????739-1,na,na,2/5/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000147,na,?? ??,?? ??,['?????????'],na,na,na,"['????', '??????????????']",na,na,na,1|-|-,na,na,na,10,na,na,11,
??????,??????490-5,na,na,8/3/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000149,na,????,????,"['?????????', '????????????(????)?????', '?????????']","['?????', '??????']",na,na,"['????', '??????????', '?????????', '??????????????', '????????????']",na,"['??(????????)', '??????', '????????', '??????????', '??????????????', '??????????????????????']","['??????', '???????', '??????????????', '?????????????']",2|1|1,na,na,3|1|2,15.4,na,na,11,
??????,??????4106,na,na,8/8/2008,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000136,na,?? ?,?? ?,['?????????'],na,na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,1|1|-,20.5,na,na,11,
??????,??????143-17,na,na,6/5/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000143,na,?? ??,?? ??,"['?????????', '????????????(????)?????']",['?????'],na,na,"['????', '??????????', '?????????????', '????????', '??????????????']",na,"['??????', '????????']",['?????????????'],1|1|-,na,na,2.8|2|0.8,32.4,na,na,11,
???? ????????,??????3588,na,na,6/5/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000135,na,????,????,"['?????????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????', '??????????????']",na,na,na,1|1|-,na,na,4|2|2,28,na,na,11,
??????,?????321,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000699,na,?? ???,?? ???,"['?????????', '????????????(????)?????', '?????????']",['??????'],na,na,"['????', '?????????????', '????????', '??????????????']",na,"['??(?????????????????)', '??????', '????????', '??????????', '??????????????', '??????????????????????']","['??????', '???????', '??????????????', '?????????????', '??????']",na,na,na,na,na,na,na,12,
?????,?????2531,na,na,9/10/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000132,na,? ??,? ??,"['?????????', '?????????']",['?????'],na,na,"['????', '??????????????']",na,"['??(????????)', '??????', '????????', '??????????????????????']","['??????', '???????']",3.5|3|0.5,na,na,1|1|-,20.3,na,na,12,
???????,???????2065,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000138,na,?? ??,?? ??,"['?????????', '????????????(????)?????']",['?????'],na,na,"['????', '??????????', '???????', '?????????????', '????????', '??????????????', '????????????']",na,na,"['??????', '???????', '??????????????']",2|2|-,na,na,1.5|1|0.5,na,na,na,12,
?????????????,?????6606-1,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000678,na,????,-,['?????????'],"['?????', '??????']",na,na,"['????', '?????????', '?????????????', '??????????????']",na,['??????'],na,1|1|-,na,na,2|2|-,30,na,na,12,
????,?????2324-5,na,na,6/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000310,na,???,???,"['?????????', '????????????(????)?????']","['?????', '??????']",na,na,"['????', '?????????????', '??????????????', '????????????']",na,na,na,1|1|-,na,na,1|1|-,32,na,na,12,
??????????,??????1060-1,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000607,na,????,????,['?????????'],['?????'],na,na,"['????', '?????????????', '??????????????', '????????????']",na,na,na,1|1|-,na,na,2|2|-,26,na,na,12,
??????,???????406,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000139,na,?? ??,?? ??,"['?????????', '????????????(????)?????']",['?????'],na,na,"['????', '?????????????', '??????????????']",na,['??????'],"['??????', '???????', '?????????????']",1|1|-,na,na,2|2|-,20.1,na,na,12,
????,???????353,na,na,6/5/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000142,na,?? ?,?? ?,['?????????'],"['?????', '??????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,na,"['??????', '??????']",1.5|1|0.5,na,na,4|4|-,25,na,na,12,
??????????,?????1624,na,na,9/3/2018,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000140,na,????,????,['?????????'],na,na,na,"['????', '??????????????']",na,na,['??????'],1|-|-,na,na,1|1|-,na,na,na,12,
???????,??????2296-1,na,na,6/10/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000134,na,?? ??,?? ??,['?????????'],"['?????', '??????']",na,na,"['????', '??????????', '??????????????', '????????????']",na,na,"['??????', '???????', '??????']",1.4|1|0.4,na,na,4|2|2,50,na,na,12,
???????,?????443,na,na,6/5/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000130,na,????,????,"['?????????', '?????????']",['??????'],na,na,"['????', '??????????????']",na,['??(????????)'],"['??????', '???????']",2|2|-,na,na,1|1|-,20,na,na,12,
?????????,?????2795-18,na,na,6/5/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000312,na,????,????,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '?????????????', '????????']",na,na,na,1|1|-,na,na,6.5|3|3.5,45,na,na,12,
???????????????,??????2827,na,na,6/30/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000609,na,?? ??,?? ??,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '??????????????']",na,na,na,3|1|2,na,na,5|3|2,35,na,na,12,
???????,?????6410-3,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000675,na,?? ?,?? ?,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '?????????????', '??????????????']",na,na,na,1|1|-,na,na,3|3|-,33,na,na,12,
????T&G?????????,?????6443-1,na,na,5/17/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000666,na,????,????,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '??????????', '?????????????', '????????', '??????????????']",na,"['??(?????????????????)', '??????']",na,3|2|1,na,na,6|3|3,55,na,na,12,
?????????????,??????3053-1?????????? ??????????SC,na,na,6/9/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000608,na,?? ??,?? ??,['?????????'],na,na,na,"['????', '????????', '??????????????']",na,na,na,1.1|1|0.1,na,na,1.5|1|0.5,15,na,na,12,
???????????,??????3047-1,na,na,6/3/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000674,na,?? ??,?? ??,['?????????'],na,na,na,"['????', '??????????', '?????????', '?????????????', '????????', '??????????????']",na,"['??????', '????????']",['??????'],2|2|-,na,na,3|3|-,25,na,na,12,
??????,??????4-87,na,na,6/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000169,na,?? ?,?? ?,"['?????????', '?????????', '????????????(????)?????']","['?????', '??????']",na,na,['??????????????'],na,['??????'],"['???????', '??????????????', '?????????????']",2|2|-,na,na,1.5|1|0.5,15.5,na,na,12,
????·?????????,??????1144-23,na,na,6/9/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000168,na,?? ???,?? ???,"['?????????', '????????????(????)?????']",['??????'],na,na,"['????', '?????????????', '??????????????']",na,['??????'],"['??????', '???????', '??????']",2.5|2|0.5,na,na,3.5|1|2.5,35,na,na,12,
??????,?????2502-3,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000155,na,????,????,['?????????'],na,na,na,['????'],na,na,na,1|1|-,na,na,2|2|-,25,na,na,12,
???????,??????317,na,na,7/9/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000172,na,??? ?,??? ?,"['?????????', '????????????(????)?????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????????', '????????????']",na,['??????'],"['??????', '???????']",1|1|-,na,na,2.5|2|0.5,32,na,na,13,
??????,?????1392-2,na,na,12/7/2018,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000154,na,????,????,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????????']",na,['??????'],"['??????', '???????', '?????????????']",1|1|-,na,na,2|2|-,18,na,na,13,
??????????,?????2368,na,na,7/1/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000650,na,?? ??,?? ??,['?????????'],na,na,na,"['????', '?????????????', '??????????????', '????????????']",na,['??(?????????????????)'],['??????'],2|2|-,na,na,3|2|1,35,na,na,13,
